ell,observer,U_over_M,n_eff,positive_power
0,r/M=50,331.227411277529,-2.7071010847098096,2.7071010847098096
0,r/M=50,333.22741127752715,-2.7083074421760323,2.7083074421760323
0,r/M=50,335.22741127752533,-2.709514248966169,2.709514248966169
0,r/M=50,337.2274112775235,-2.710718810559432,2.710718810559432
0,r/M=50,339.2274112775217,-2.7119162105688677,2.7119162105688677
0,r/M=50,341.2274112775199,-2.713099874449445,2.713099874449445
0,r/M=50,343.22741127751806,-2.714262780062977,2.714262780062977
0,r/M=50,345.22741127751624,-2.715399010565056,2.715399010565056
0,r/M=50,347.2274112775144,-2.716505218507477,2.716505218507477
0,r/M=50,349.2274112775126,-2.717581610502551,2.717581610502551
0,r/M=50,351.2274112775108,-2.7186322273610446,2.7186322273610446
0,r/M=50,353.22741127750896,-2.7196644928694345,2.7196644928694345
0,r/M=50,355.22741127750714,-2.7206881529842204,2.7206881529842204
0,r/M=50,357.2274112775053,-2.7217137976113097,2.7217137976113097
0,r/M=50,359.2274112775035,-2.7227511755807057,2.7227511755807057
0,r/M=50,361.2274112775017,-2.723807525313234,2.723807525313234
0,r/M=50,363.22741127749987,-2.7248861711174017,2.7248861711174017
0,r/M=50,365.22741127749805,-2.725985657557938,2.725985657557938
0,r/M=50,367.22741127749623,-2.727099664569715,2.727099664569715
0,r/M=50,369.2274112774944,-2.728217827720522,2.728217827720522
0,r/M=50,371.2274112774926,-2.729327389026528,2.729327389026528
0,r/M=50,373.2274112774908,-2.730415382228375,2.730415382228375
0,r/M=50,375.22741127748895,-2.731470896164797,2.731470896164797
0,r/M=50,377.22741127748714,-2.73248692820203,2.73248692820203
0,r/M=50,379.2274112774853,-2.733461453370182,2.733461453370182
0,r/M=50,381.2274112774835,-2.734397551221569,2.734397551221569
0,r/M=50,383.2274112774817,-2.735302670079501,2.735302670079501
0,r/M=50,385.22741127747986,-2.7361872853117304,2.7361872853117304
0,r/M=50,387.22741127747804,-2.737063277289253,2.737063277289253
0,r/M=50,389.2274112774762,-2.737942318991725,2.737942318991725
0,r/M=50,391.2274112774744,-2.7388344671994926,2.7388344671994926
0,r/M=50,393.2274112774726,-2.739747053409219,2.739747053409219
